,tweet_id,handle,retweet_count,text,mined_at,created_at
27,1170697204845039616,JeffBezos,636,Season 2 streams November 1. Can’t wait. #JackRyan https://t.co/THDtDjGIpQ,2021-08-03 16:36:42.400558,Sun Sep 08 13:55:38 +0000 2019
28,1170036283315388416,JeffBezos,7692,"Rooting for team India. Good luck, India! #Chandrayaan2 https://t.co/iWWSqPs4nz",2021-08-03 16:36:42.400558,Fri Sep 06 18:09:22 +0000 2019
29,1167125742401941504,JeffBezos,303,.@BlueOrigin founded nonprofit @clubforfuture to inspire youth to pursue careers in #STEM + visualize life in space… https://t.co/8eDmN3Bxpc,2021-08-03 16:36:42.400558,Thu Aug 29 17:23:55 +0000 2019
30,1166798278375030784,JeffBezos,254,"Had a great meeting with Mike George. We’re hard at work building Day 1 Academies, and Mike has been busy learning… https://t.co/d2aDeJ2DnF",2021-08-03 16:36:42.400558,Wed Aug 28 19:42:42 +0000 2019
31,1145345436846157824,JeffBezos,398,#Pride https://t.co/mYq5XuA9Ks,2021-08-03 16:36:42.400558,Sun Jun 30 14:56:46 +0000 2019
32,1141770282773831681,JeffBezos,418,So much fun with Caroline Kennedy yesterday at the #JFKSpaceSummit. Her father’s Rice speech still inspires. We cho… https://t.co/6ozBeRchyL,2021-08-03 16:36:42.400558,Thu Jun 20 18:10:23 +0000 2019
33,1141520394022576128,JeffBezos,813,First hotfire of our #BE7 lunar landing engine just yesterday at Marshall Space Flight Center. Data looks great and… https://t.co/uNBDRJesww,2021-08-03 16:36:42.400558,Thu Jun 20 01:37:25 +0000 2019
34,1140285639071416320,JeffBezos,932,"Happy Father’s Day. You’re there for me always, and I feel it. I love you, Dad. https://t.co/o85JWRSTBn",2021-08-03 16:36:42.400558,Sun Jun 16 15:50:56 +0000 2019
35,1138206602043936769,JeffBezos,525,My mom’s incredible story. Wow. So grateful. So proud. #Grit https://t.co/msi2nHqikf,2021-08-03 16:36:42.400558,Mon Jun 10 22:09:35 +0000 2019
36,1136707086933299200,JeffBezos,1252,Got a chance to scout some of the cool tech at the first #reMARS event. @HaptX @Rivian @hseas @wyssinstitute https://t.co/bvG5afbn50,2021-08-03 16:36:42.400558,Thu Jun 06 18:51:03 +0000 2019
37,1136489170841546752,JeffBezos,541,Leo’s story is amazing and so is his mom. #AmazonFutureEngineer https://t.co/QQPKg3GZ2T,2021-08-03 16:36:42.400558,Thu Jun 06 04:25:07 +0000 2019
38,1136474105220407298,JeffBezos,451,".@AmazonreMARS is all about bringing the best and brightest together, so it’s fitting that I got to meet Leo — one… https://t.co/JRbs3woMFU",2021-08-03 16:36:42.400558,Thu Jun 06 03:25:16 +0000 2019
39,1133366998874804224,JeffBezos,971,"MacKenzie is going to be amazing and thoughtful and effective at philanthropy, and I’m proud of her. Her letter is… https://t.co/YoohADeiiG",2021-08-03 16:36:42.400558,Tue May 28 13:38:44 +0000 2019
40,1133007488721117184,JeffBezos,317,Grateful on this #MemorialDay to the fallen servicemen and women — and their families — for the ultimate sacrifice… https://t.co/JndCoiffsi,2021-08-03 16:36:42.400558,Mon May 27 13:50:10 +0000 2019
41,1131446048386240513,JeffBezos,254,Great annual shareholder meeting today. #Amazon https://t.co/g9keKvGyq0,2021-08-03 16:36:42.400558,Thu May 23 06:25:33 +0000 2019
42,1129010348286046208,JeffBezos,2027,My dad’s journey to the U.S. shows how people come together to help each other. We got a chance to celebrate him la… https://t.co/CAfhQjKZSF,2021-08-03 16:36:42.400558,Thu May 16 13:06:57 +0000 2019
43,1128828279329181696,JeffBezos,2218,"At the Statue of Liberty, where my dad’s being honored with a Liberty Star as part of the new museum’s opening. Whe… https://t.co/UmvanhEXBJ",2021-08-03 16:36:42.400558,Thu May 16 01:03:29 +0000 2019
44,1128409227481964544,JeffBezos,1922,"We’re investing $1.5 billion in our new air hub to get you your packages faster. Three million square feet, and it’… https://t.co/rKi5q2mnNh",2021-08-03 16:36:42.400558,Tue May 14 21:18:19 +0000 2019
45,1127573586716385280,JeffBezos,628,"I’m lucky enough to call her my mom. She’s kind, patient, supportive, and has always encouraged me to stay curious.… https://t.co/CyamOqB6UN",2021-08-03 16:36:42.400558,Sun May 12 13:57:47 +0000 2019
46,1126634588560748545,JeffBezos,801,Blue Origin is building the infrastructure needed to unleash the next generation of dreamers. I met these young peo… https://t.co/2hYFAOaUDH,2021-08-03 16:36:42.400558,Thu May 09 23:46:32 +0000 2019
47,1124115283554078720,JeffBezos,395,Congrats to the whole @blueorigin team! https://t.co/71S53Ucl5l,2021-08-03 16:36:42.400558,Fri May 03 00:55:43 +0000 2019
48,1116317620670582789,JeffBezos,212,Been an honor &amp; pleasure having Tom Alberg on Amazon’s Board. Tom joined in 1996 and has been with us ever since -… https://t.co/QXJ1YF5ORB,2021-08-03 16:36:42.400558,Thu Apr 11 12:30:35 +0000 2019
49,1113851402965487616,JeffBezos,1302,https://t.co/oFGWPkK3dB,2021-08-03 16:36:42.400558,Thu Apr 04 17:10:43 +0000 2019
50,1107991131147534336,JeffBezos,1093,"Thank you @FestoAG, but bigger please…. I want to get on! #ThinkBig #MARS2019 https://t.co/uXqvkf623B",2021-08-03 16:36:42.400558,Tue Mar 19 13:04:05 +0000 2019
51,1093643321732464646,JeffBezos,24466,"I’ve written a post about developments with the National Enquirer and its parent company, AMI. You can find it here: https://t.co/G1ykJAPPwy",2021-08-03 16:36:42.400558,Thu Feb 07 22:51:01 +0000 2019
52,1092255287472320512,JeffBezos,6253,"Grateful for the journalists at the @washingtonpost and around the world who do the work, no matter the risk or dan… https://t.co/v07zUatPKZ",2021-08-03 16:36:42.400558,Mon Feb 04 02:55:28 +0000 2019
